"id_day","x","y","id_month","datetime","behavior","species","id","group"
"may001",781969.802383584,7407899.62025156,"May",2019-05-16 07:25:00,"Sleeping site",NA,"DG03","Guareí"
"may001",781925.38440224,7407924.74575223,"May",2019-05-16 07:35:00,"Frugivory","Celtis iguanaea","AG153","Guareí"
"may001",781898.129081042,7407922.48989409,"May",2019-05-16 07:40:00,"Frugivory","Celtis iguanaea","AG154","Guareí"
"may001",781897.188481099,7407900.23037001,"May",2019-05-16 07:50:00,"Frugivory","Celtis iguanaea","AG65","Guareí"
"may001",781885.459009429,7407917.6415296,"May",2019-05-16 08:25:00,"Frugivory","Celtis iguanaea","AG155","Guareí"
"may001",781882.970580149,7407900.06595431,"May",2019-05-16 08:50:00,"Frugivory","Celtis iguanaea","AG156","Guareí"
"may001",781867.167573686,7407897.26562816,"May",2019-05-16 09:55:00,"Frugivory","Celtis iguanaea","AG125","Guareí"
"may001",781863.53556654,7407921.16412519,"May",2019-05-16 10:40:00,"Frugivory","Celtis iguanaea","AG77","Guareí"
"may001",781883.982716122,7407995.47392613,"May",2019-05-16 11:00:00,"Frugivory","Celtis iguanaea","AG157","Guareí"
"may001",781821.451162511,7408116.59607117,"May",2019-05-16 12:40:00,"Frugivory","Syagrus romanzoffiana","AG130","Guareí"
"may001",781737.491080898,7408128.28247878,"May",2019-05-16 13:50:00,"Frugivory","Celtis iguanaea","AG76","Guareí"
"may001",781730.138268437,7408198.35852011,"May",2019-05-16 15:05:00,"Frugivory","Syagrus romanzoffiana","AG129","Guareí"
"may002",782014.981396588,7407684.18247662,"May",2019-05-17 08:00:00,"Frugivory","Syagrus romanzoffiana","AG158","Guareí"
"may002",782315.106971979,7407557.61259293,"May",2019-05-17 10:10:00,"Frugivory","Syagrus romanzoffiana","AG159","Guareí"
"may002",781909.415526111,7407518.39814176,"May",2019-05-17 13:05:00,"Frugivory","Syagrus romanzoffiana","AG136","Guareí"
"may002",781853.772017952,7407507.48821922,"May",2019-05-17 13:45:00,"Frugivory","Syagrus romanzoffiana","AG149","Guareí"
"may002",781794.879196943,7407572.68040002,"May",2019-05-17 14:35:00,"Frugivory","Syagrus romanzoffiana","AG160","Guareí"
"may002",781850.274185854,7407816.45907759,"May",2019-05-17 15:30:00,"Frugivory","Syagrus romanzoffiana","AG161","Guareí"
"may003",781962.88771383,7407890.88067586,"May",2019-05-18 07:45:00,"Frugivory","Celtis iguanaea","AG162","Guareí"
"may003",781845.064058674,7407945.12373244,"May",2019-05-18 10:00:00,"Frugivory","Celtis iguanaea","AG118","Guareí"
"may003",781714.496593628,7407899.29580363,"May",2019-05-18 11:55:00,"Frugivory","Syagrus romanzoffiana","AG102","Guareí"
"may003",781786.588210244,7407711.49298299,"May",2019-05-18 13:55:00,"Frugivory","Syagrus romanzoffiana","AG131","Guareí"
"may003",781881.207341643,7407898.87342631,"May",2019-05-18 15:10:00,"Frugivory","Celtis iguanaea","AG163","Guareí"
"may004",781753.902144176,7407633.75709686,"May",2019-05-20 08:50:00,"Frugivory","Syagrus romanzoffiana","AG164","Guareí"
"may004",781866.17812457,7407872.45228,"May",2019-05-20 09:50:00,"Frugivory","Dyospiros inconstans","AG165","Guareí"
"may004",781867.59861166,7407946.57507716,"May",2019-05-20 11:30:00,"Frugivory","Celtis iguanaea","AG106","Guareí"
"may004",781859.258927552,7407954.38358365,"May",2019-05-20 11:45:00,"Frugivory","Celtis iguanaea","AG166","Guareí"
"may004",781937.266108212,7407963.19271132,"May",2019-05-20 13:40:00,"Frugivory","Celtis iguanaea","AG167","Guareí"
"may004",782007.150775501,7407927.05379662,"May",2019-05-20 14:55:00,"Frugivory","Syagrus romanzoffiana","AG168","Guareí"
"jun001",781987.22891761,7407661.3217217,"Jun",2019-06-10 08:05:00,"Frugivory","Syagrus romanzoffiana","AG169","Guareí"
"jun001",782054.236941635,7407515.40106368,"Jun",2019-06-10 09:20:00,"Frugivory",NA,NA,"Guareí"
"jun001",782041.508694082,7407440.83205447,"Jun",2019-06-10 09:40:00,"Frugivory","Syagrus romanzoffiana","AG170","Guareí"
"jun001",782027.742789343,7407442.75872552,"Jun",2019-06-10 10:15:00,"Frugivory","Pereskia aculeata","AG171","Guareí"
"jun001",782008.034143128,7407417.75586531,"Jun",2019-06-10 10:55:00,"Frugivory","Syagrus romanzoffiana","AG172","Guareí"
"jun001",782002.634818577,7407370.86088333,"Jun",2019-06-10 11:15:00,"Frugivory","Syagrus romanzoffiana","AG114","Guareí"
"jun001",782120.015506155,7407395.76650634,"Jun",2019-06-10 12:05:00,"Frugivory","Syagrus romanzoffiana","AG173","Guareí"
"jun001",782172.243582808,7407431.1174811,"Jun",2019-06-10 13:00:00,"Frugivory","Syagrus romanzoffiana","AG174","Guareí"
"jun001",782049.926532364,7407452.85933004,"Jun",2019-06-10 14:20:00,"Frugivory","Syagrus romanzoffiana","AG175","Guareí"
"jun001",781978.370865523,7407572.60412628,"Jun",2019-06-10 15:00:00,"Frugivory","Syagrus romanzoffiana","AG176","Guareí"
"jun001",781924.176217005,7407616.31132455,"Jun",2019-06-10 15:15:00,"Frugivory","Syagrus romanzoffiana","AG177","Guareí"
"jun001",781970.579031846,7407892.28485961,"Jun",2019-06-10 16:00:00,"Frugivory","Celtis iguanaea","AG152","Guareí"
